state.name,state,Clinton_margin,date,daystoelection
Alaska,AK,-0.265,10/23/16,16
Alabama,AL,-0.455,10/23/16,16
Arkansas,AR,-0.435,10/23/16,16
Arizona,AZ,0.065,10/23/16,16
California,CA,0.455,10/23/16,16
Colorado,CO,0.365,10/23/16,16
Connecticut,CT,0.445,10/23/16,16
District of Columbia,DC,0.47,10/23/16,16
Delaware,DE,0.44,10/23/16,16
Florida,FL,0.255,10/23/16,16
Georgia,GA,-0.175,10/23/16,16
Hawaii,HI,0.46,10/23/16,16
Iowa,IA,0.055,10/23/16,16
Idaho,ID,-0.425,10/23/16,16
Illinois,IL,0.435,10/23/16,16
Indiana,IN,-0.315,10/23/16,16
Kansas,KS,-0.41,10/23/16,16
Kentucky,KY,-0.43,10/23/16,16
Louisiana,LA,-0.435,10/23/16,16
Massachusetts,MA,0.435,10/23/16,16
Maryland,MD,0.45,10/23/16,16
Maine,ME,0.38,10/23/16,16
Michigan,MI,0.385,10/23/16,16
Minnesota,MN,0.385,10/23/16,16
Missouri,MO,-0.305,10/23/16,16
Mississippi,MS,-0.425,10/23/16,16
Montana,MT,-0.37,10/23/16,16
North Carolina,NC,0.21,10/23/16,16
North Dakota,ND,-0.39,10/23/16,16
Nebraska,NE,-0.425,10/23/16,16
New Hampshire,NH,0.36,10/23/16,16
New Jersey,NJ,0.43,10/23/16,16
New Mexico,NM,0.405,10/23/16,16
Nevada,NV,0.275,10/23/16,16
New York,NY,0.435,10/23/16,16
Ohio,OH,0.06,10/23/16,16
Oklahoma,OK,-0.44,10/23/16,16
Oregon,OR,0.44,10/23/16,16
Pennsylvania,PA,0.345,10/23/16,16
Rhode Island,RI,0.425,10/23/16,16
South Carolina,SC,-0.35,10/23/16,16
South Dakota,SD,-0.38,10/23/16,16
Tennessee,TN,-0.44,10/23/16,16
Texas,TX,-0.315,10/23/16,16
Utah,UT,-0.345,10/23/16,16
Virginia,VA,0.405,10/23/16,16
Vermont,VT,0.45,10/23/16,16
Washington,WA,0.45,10/23/16,16
Wisconsin,WI,0.37,10/23/16,16
West Virginia,WV,-0.47,10/23/16,16
Wyoming,WY,-0.44,10/23/16,16